Name,Date,Open,High,Low,Close,Adj Close,Volume
AAVE,01-11-2020,29.707518,82.173225,25.966154,76.419533,76.419533,6581792049
AAVE,01-12-2020,76.424721,96.068581,63.677052,87.527481,87.527481,8758660910
AAVE,01-01-2021,87.543304,317.188568,81.853378,300.062561,300.062561,19583110676
AAVE,01-02-2021,300.036621,559.122925,285.17215,344.869995,344.869995,28923411540
AAVE,01-03-2021,345.18927,450.259796,313.809174,377.008148,377.008148,11394598662
AAVE,01-04-2021,377.183685,486.036713,292.775391,444.72879,444.72879,16867780005
AAVE,01-05-2021,444.86554,666.86499,210.048294,383.083405,383.083405,32261390902
AAVE,01-06-2021,382.431732,408.967255,171.375977,250.385498,250.385498,9679454351
AAVE,01-07-2021,250.710434,346.714783,213.336273,331.01828,331.01828,12729496905
AAVE,01-08-2021,331.068054,448.271667,300.567871,391.723877,391.723877,12646079201
AAVE,01-09-2021,392.059631,425.243988,252.44725,276.121582,276.121582,11666293389
AAVE,01-10-2021,276.308868,454.274536,271.140137,314.173096,314.173096,10911886159
AAVE,01-11-2021,314.156525,349.475128,220.849686,257.10083,257.10083,9172426863
AAVE,01-12-2021,256.486542,296.736633,157.982071,255.110489,255.110489,11108914782
AAVE,01-01-2022,255.03244,284.651886,131.902222,157.603165,157.603165,10343387558
AAVE,01-02-2022,157.615829,192.436737,112.998566,145.80545,145.80545,5033433156
AAVE,01-03-2022,145.781448,240.319077,113.95504,206.278259,206.278259,10143930591
AAVE,01-04-2022,206.411957,260.086609,140.349075,142.74086,142.74086,10221675694
AAVE,01-05-2022,142.708786,161.794647,65.512428,113.120422,113.120422,7470142495
AAVE,01-06-2022,113.07476,119.907532,45.979153,56.969864,56.969864,5663689697
AAVE,01-07-2022,57.06041,108.745575,54.93972,97.960587,97.960587,9150962637
AAVE,01-08-2022,97.92691,115.520035,78.324516,84.922569,84.922569,6259149289
AAVE,01-09-2022,84.912857,96.114311,70.983063,74.518196,74.518196,3887058621
AAVE,01-10-2022,74.530472,89.737785,65.57518,83.951302,83.951302,3349330545
AAVE,01-11-2022,83.945702,97.958984,50.692291,65.353134,65.353134,3829423411
AAVE,01-12-2022,65.354668,67.007736,51.725914,51.979134,51.979134,1391384389
AAVE,01-01-2023,51.978664,90.531075,51.288872,83.018906,83.018906,3151646101
AAVE,01-02-2023,83.020943,95.066833,73.995766,77.554825,77.554825,2882912180
AAVE,01-03-2023,77.560905,82.973915,64.809509,74.199478,74.199478,2130849702
AAVE,01-04-2023,74.185722,84.039574,66.978462,70.587372,70.587372,1624857926
AAVE,01-05-2023,70.579163,74.134583,60.551949,63.86095,63.86095,1150342830
AAVE,01-06-2023,63.856548,76.12867,49.120926,70.421974,70.421974,2423480947
AAVE,01-07-2023,70.42617,87.369469,64.347786,65.324158,65.324158,2862096145
AAVE,01-08-2023,65.329025,69.046768,52.097874,55.516514,55.516514,2318179821
AAVE,01-09-2023,55.518211,68.507973,51.567127,67.553017,67.553017,1986600356
AAVE,01-10-2023,67.552689,90.461655,61.318996,81.446167,81.446167,3030666538
AAVE,01-11-2023,81.443451,109.528191,80.977592,98.239914,98.239914,5030596785
AAVE,01-12-2023,98.245621,129.216599,88.334175,109.055893,109.055893,5690134933
AAVE,01-01-2024,108.935768,119.528664,84.393089,85.960747,85.960747,4243514198
AAVE,01-02-2024,85.95047,114.398796,81.738152,105.769485,105.769485,3869495395
AAVE,01-03-2024,105.73613,153.272156,95.332649,139.314896,139.314896,3180112785
AAVE,15-03-2024,139.348602,141.27594,123.73114,126.034676,126.034676,231437312
